query,input_file,mode,n_profiles,t_elapsed-avg,t_elapsed-std,peak_mem_usage-avg,peak_mem_usage-std,cpu_power-avg,cpu_power-std,gpu_power-avg,gpu_power-std,ram_power-avg,ram_power-std
[join] inner on id_l,./data/raw/synthetic/join/join_1e+07_lhs.parquet,pandas,5,3.705946791404858,0.3198695127102064,984.33359375,41.84851093446027,196.94940552947963,5.20837345026697,0.0,0.0,0.5116819381713867,0.0001096022007115
[join] inner on id_l,./data/raw/synthetic/join/join_1e07_lhs.parquet,pandas,5,3.605065683810972,0.3317998674132191,2175.659375,2.054113215846592,122.208590858167,39.66246128175492,0.0,0.0,0.7149925231933594,0.0001867702427842
[groupby] int_f0 mean by str_id0,./data/raw/synthetic/general/general_1e07.parquet,pandas,5,0.4146205967990681,0.0049755811742515,1291.896875,311.68372345503843,133.701899142785,48.98876885170823,0.0,0.0,0.4557543754577636,0.1269731144023246
[groupby] int_f0 mean by str_id0,./data/raw/synthetic/general/general_1e07.parquet,vaex,5,2.2932040265994145,0.1095782483578681,3783.70234375,563.566985034693,201.3750438946545,3.229184663423423,0.0,0.0,1.216058349609375,0.3282681610977677
[groupby] int_f0 mean by str_id0,./data/raw/synthetic/general/general_1e07.parquet,polars,5,1.3219437411986292,0.5271118221894622,3802.72265625,106.94952585365802,333.12536942686955,8.770522482887971,0.0,0.0,1.3989872932434082,0.0535225103131269
[groupby] int_f0 mean by str_id0,./data/raw/synthetic/general/general_1e07.parquet,pandas,5,0.3692015629960224,0.0088304178987408,1155.5078125,170.761718973393,204.30054419562785,11.53256883782397,0.0,0.0,0.4045045852661132,0.0957997812521188
[join] inner on id_l,./data/raw/synthetic/join/join_1e07_lhs.parquet,pandas,5,3.7162889532046393,0.4007964749412759,2188.8296875,1.4133838150317664,202.1065376258645,7.170942501513947,0.0,0.0,0.7176349639892579,0.0022496362625326
[join] inner on id_l,./data/raw/synthetic/join/join_1e07_lhs.parquet,vaex,5,2.471283903974109,0.0925148552443693,3245.81015625,1103.5889582121345,125.91699571985023,41.204268395197545,0.0,0.0,1.0505192756652832,0.4408499382593639
[join] inner on id_l,./data/raw/synthetic/join/join_1e07_lhs.parquet,polars,5,1.7519526690244676,0.2408170753403281,6351.07265625,424.31768919613296,279.94114939168674,12.789145432049246,0.0,0.0,2.304780292510986,0.1420691219508515
[read_parquet] ./data/raw/synthetic/general/general_1e07.parquet,./data/ra,polars,5,0.232736821193248,0.0617196168564445,2601.784375,17.87460363415438,209.5038678816861,14.523987749029116,0.0,0.0,0.8569830894470215,0.0095356263336452
[read_psql] feature wm_aiget dummy,,polars,5,0.0298463996034115,0.0586627756287346,1238.94609375,0.1090228706654021,205.82978516423407,17.510096595480963,0.0,0.0,0.4724638938903808,0.0003347499552398
[read_psql_advanced] feature wm_aiget dummy,,polars,5,0.0655676236143335,0.0485130615080906,1277.790625,0.396253203851401,202.0477984895515,7.235294786616544,0.0,0.0,0.466860294342041,0.0399396592252942
[read_psql_advanced] feature wm_aiget dummy,,polars,5,0.0691401368472725,0.0603414008575654,1277.4109375,4.027386866282295,188.69500015037684,9.615773044979072,0.0,0.0,0.4643239974975586,0.0457809657379885
[read_psql] feature wm_aiget dummy,,polars,5,0.02481505041942,0.0483391783928992,1246.9953125,0.152040965131523,194.6105873139949,9.876630766146874,0.0,0.0,0.4597194671630859,0.0301918430221826
[read_psql_advanced] feature wm_aiget datamart,,pandas,5,3.129182447027415,0.1150076450009677,6136.31875,356.5061437527371,224.03030007667456,2.9126956077503583,0.0,0.0,2.3273929595947265,0.1586138417649267
[read_psql] feature wm_aiget datamart,,pandas,1,16.12000499200076,0.0,11379.80078125,0.0,197.18805841339656,0.0,0.0,0.0,3.135809898376465,0.0
[to_parquet]     ,./data/raw/synthetic/general/general_1e07.parquet,pandas,1,3.067864789045416,0.0,1200.921875,0.0,196.5182182663981,0.0,0.0,0.0,0.4442710876464844,0.0
[groupby] int_f0 mean by str_id0,./data/raw/synthetic/general/general_1e07.parquet,modin,5,1.176962692779489,0.1034736254208891,992.7734375,19.799006674154214,196.9803768396352,72.98101099257778,0.0,0.0,14.559517192840577,0.2349001584702406
[join] inner on id_l,/home/jovyan/exchanging-pool/to奕勳/join_1e08_lhs.parquet,polars,1,16.06266133103054,0.0,22224.88671875,0.0,287.5226459627357,0.0,0.0,0.0,8.063560009002686,0.0
[join] inner on id_l,/home/jovyan/exchanging-pool/to奕勳/join_1e07_lhs.parquet,modin,1,260.3421367519768,0.0,119272.96875,0.0,0.0,0.0,0.0,0.0,33.386754512786865,0.0
[join] inner on id_l,/home/jovyan/exchanging-pool/to奕勳/join_1e07_lhs.parquet,pandas,5,3.627064703544602,0.185514327150724,2163.484375,1.809647202646658,250.01370660807305,12.640828888025975,22.6058,0.7137692624370992,0.7098395347595214,8.190424647734111e-05
[join] inner on id_l,/home/jovyan/exchanging-pool/to奕勳/join_1e07_lhs.parquet,cudf,5,0.0273495330009609,0.0004729432068598,1038.2765625,0.0480579890600928,243.68301413003323,26.930462110990792,123.096,10.752982451394589,0.4553784370422363,0.0001075021521031
[join] inner on id_l,/home/jovyan/exchanging-pool/to奕勳/join_1e07_lhs.parquet,cudf,5,0.0278177504427731,0.0002846883276324,1025.69296875,0.0565853717569744,284.58219083795063,38.87380169861039,124.6322,11.666287076872402,0.4505513191223144,0.000152949441293
[join] inner on id_l,/home/jovyan/exchanging-pool/to奕勳/join_1e07_lhs.parquet,pandas,5,3.515744332782924,0.1551856116710281,2159.728125,1.8998750344389432,197.8165225488938,81.81051366646422,22.6984,0.055966418502526726,0.7082877159118652,0.0001791809130986567
